Currency,Unit,,Description,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
$,Thousand,,Creston Mascota - Production costs, ,,,,,,,,,,,,,,,,,"6,028","6,901","7,644","7,729","5,606","7,501","6,101","7,070","5,781","6,623","7,014","7,923","6,978","7,361","7,836","9,315","9,651","10,226","8,327","9,066","9,836","9,002","8,544","8,419","11,837","9,595","7,585","6,071","2,417","2,009","1,773","1,966",615,484,644,200, -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Creston Mascota - By-product metal revenues, ,,,,,,,,,,,,,,,,,-236,-376,-442,-423,-547,-611,-534,-720,-782,-898,"-1,089",-657,"-1,044","-1,186",-937,"-1,368","-1,526","-1,271",-784,"-1,237","-2,330","-3,181","-2,586","-1,574","-4,000","-2,830","-2,651",-635,"-1,263",-683,-449,-339,-135,-5,12,-30, -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Creston Mascota - Inventory and other adjustments, ,,,,,,,,,,,,,,,,,583,403,233,-84,467,-611,-27,-156,310,92,55,15,-31,466,88,339,717,-434,447,596,-402,54,448,578,-143,-74,129,"-1,534",-336,-45,128,231,-69,90,-15,294, -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Creston Mascota - Non-cash reclamation provision, ,,,,,,,,,,,,,,,,,-49,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Creston Mascota - Stripping costs, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Creston Mascota - Cash operating costs, ,,,,,,,,,,,,,,,,,"6,326","6,878","7,435","7,222","5,526","6,279","5,540","6,194","5,309","5,817","5,980","7,281","5,903","6,641","6,987","8,286","8,842","8,521","7,990","8,425","7,104","5,875","6,406","7,423","7,694","6,691","5,063","3,902",818,"1,281","1,452","1,858",411,569,641,464, -   , -   , -   , -   , -   , -   , -   
$,Actual,Bold,Creston Mascota - Total cash costs (Per ounce of commercial production), ,,,,,,,,,,,,,,,,,613,616,556,556,444,402,436,445,460,469,493,649,525,550,632,591,738,978,996,736,525,320,668,"1,073",423,694,771,928,193,341,486,796,407,899,"1,188","1,030", -   , -   , -   , -   , -   , -   , -   
$,Thousand,,Creston Mascota - Minesite operating costs (USD$), ,,,,,,,,,,,,,,,,,"6,562","7,186","7,759","7,566","6,005","6,810","5,964","6,742","5,976","6,654","6,902","7,732","6,883","7,739","7,858","9,569","10,280","9,707","8,589","9,547","9,134","8,797","8,860","8,888","11,476","9,318","7,458", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Actual,,Creston Mascota - Minesite costs per tonne (USD$), ,,,,,,,,,,,,,,,,,17,18,17,14,11,11,14,13,12,12,14,15,13,13,15,17,22,38,28,25,25,27,31,95,54,74,40, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,Abstract bold color Indent,Capital Expenditures (Creston Mascota), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,"1,155","2,586","1,311","2,203","2,288","3,485",582,"1,382","2,789","3,375","3,563","8,113","5,892","1,932", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,942","7,525","8,206"
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,"1,155","2,586","1,311","2,203","2,288","3,485",582,"1,382","2,343","2,446",502,"1,224",921,"1,520", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,292","6,719","7,841"
,,Abstract bold color Indent,Supplementary Data, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
