Currency,Unit,,Description,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
$,Thousand,Indent,Other liabilities,"42,515","38,803","34,062","44,401","38,780","34,038","34,250","32,844","32,941","34,195","33,168","31,870","30,066","40,329","38,041","47,399","46,622","42,619","42,379","43,463","56,870","61,002","52,204","54,343","54,956","63,336","67,940","73,339","70,695","70,261","71,620","70,507","67,990","72,615","81,417","359,643","365,325","322,106","298,435","270,625","270,921"
$,Thousand,Bold,Total liabilities,"2,705,101","2,772,048","2,667,383","2,590,046","2,650,352","2,542,160","2,461,450","2,644,948","2,714,415","2,615,477","2,618,767","2,844,616","2,955,649","2,918,610","2,936,395","3,346,529","3,406,984","3,302,831","3,345,840","3,444,971","3,525,055","3,678,371","4,655,332","3,822,287","3,717,488","3,931,542","3,975,812","4,170,016","4,274,434","4,216,319","7,201,009","7,056,258","7,225,460","7,253,463","9,860,375","9,358,449","9,292,415","9,262,034","9,160,071","9,294,791","9,311,518"
,,Abstract Bold,Shareholders' equity:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Common shares,"4,469,249","4,599,788","4,622,015","4,685,089","4,695,297","4,707,940","4,799,138","4,926,048","4,976,257","4,987,694","5,205,803","5,244,150","5,262,855","5,288,432","5,292,409","5,322,229","5,343,703","5,362,169","5,373,951","5,464,573","5,557,709","5,589,352","5,611,517","5,676,839","5,723,218","5,751,479","5,752,660","5,794,462","5,828,276","5,863,512","16,167,944","16,216,512","16,196,664","16,251,221","18,161,019","18,224,982","18,279,698","18,334,869","18,398,184","18,525,686","18,663,351"
$,Thousand,Indent,Stock options,"197,291","200,830","206,611","209,529","213,602","216,232","203,582","181,766","176,035","179,852","184,409","182,419","185,189","186,754","191,288","192,410","195,093","197,597","200,114","189,235","178,712","180,160","180,173","174,215","172,912","175,640","182,647","184,876","188,726","191,112","193,205","195,213","198,451","197,430","200,161","200,300","202,691","201,755","204,621","191,200","174,657"
$,Thousand,Indent,Warrants, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Contributed surplus,"37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","37,254","22,118","24,097","23,280","22,074","22,074","22,074","22,074","16,059", -   , -   
$,Thousand,Indent,Retained earnings (deficit)," (740,445)"," (779,382)"," (768,011)"," (775,073)"," (791,153)"," (823,734)"," (813,517)"," (812,421)"," (785,342)"," (744,453)"," (690,859)"," (652,094)"," (604,288)"," (595,797)"," (540,263)"," (561,025)"," (569,795)"," (988,913)"," (980,412)"," (981,795)"," (933,158)"," (647,330)"," (716,902)"," (660,018)"," (485,959)"," (366,412)"," (306,160)"," (193,324)"," (166,493)"," (146,383)"," (208,330)"," (99,222)"," (213,101)"," (201,580)","1,429,346","1,558,021","1,539,065","963,172","1,110,047","1,373,099","1,727,379"
$,Thousand,Indent,Other reserves,"6,419","10,000","1,873","2,970",256,"3,328","28,657","46,600","54,260","32,127","41,895","38,697","38,541","30,348"," (40,639)"," (58,710)"," (57,400)"," (58,095)"," (63,803)"," (63,558)"," (58,867)"," (47,922)"," (71,444)","8,452","36,594","85,252","32,008","57,125","27,263","54,276","81,318"," (39,741)"," (68,508)"," (29,006)"," (26,559)"," (52,174)"," (110,262)"," (98,955)"," (86,541)"," (93,570)"," (60,416)"
$,Thousand,Bold,Total equity,"3,969,768","4,068,490","4,099,742","4,159,769","4,155,256","4,141,020","4,255,114","4,379,247","4,458,464","4,492,474","4,778,502","4,850,426","4,919,551","4,946,991","4,940,049","4,932,158","4,948,855","4,550,012","4,567,104","4,645,709","4,781,650","5,111,514","5,040,598","5,236,742","5,484,019","5,683,213","5,698,409","5,880,393","5,915,026","5,999,771","16,271,391","16,294,880","16,137,603","16,241,345","19,786,041","19,953,203","19,933,266","19,422,915","19,642,370","19,996,415","20,504,971"
$,Thousand,Bold,Total liabilities and equity,"6,674,869","6,840,538","6,767,125","6,749,815","6,805,608","6,683,180","6,716,564","7,024,195","7,172,879","7,107,951","7,397,269","7,695,042","7,875,200","7,865,601","7,876,444","8,278,687","8,355,839","7,852,843","7,912,944","8,090,680","8,306,705","8,789,885","9,695,930","9,059,029","9,201,507","9,614,755","9,674,221","10,050,409","10,189,460","10,216,090","23,472,400","23,351,138","23,363,063","23,494,808","29,646,416","29,311,652","29,225,681","28,684,949","28,802,441","29,291,206","29,816,489"
