Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14
$,Thousand,Bold,Total liabilities,"247,579","240,059","255,656","319,240","180,446","197,057","192,453","239,296","247,941","580,910","637,630","688,464","693,875","839,533","1,058,297","861,068","1,011,245","1,145,588","1,426,615","1,495,596","1,504,612","1,545,233","1,897,342","1,836,548","1,781,738","1,814,672","1,821,287","1,811,401","1,746,575","1,793,739","1,828,573","1,845,630","1,787,439","1,833,974","1,980,633","1,982,210","1,889,521","2,418,367"
,,Abstract Bold,Shareholders' equity:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Common shares,"622,167","623,087","631,067","764,659","973,116","1,215,925","1,225,931","1,230,654","1,235,422","1,724,496","1,791,777","1,931,667","1,972,399","1,976,075","1,982,427","2,299,747","2,329,090","2,348,875","2,370,970","2,378,759","2,382,168","2,397,106","3,003,536","3,078,217","3,090,202","3,102,141","3,117,067","3,181,381","3,182,923","3,194,581","3,213,756","3,241,922","3,249,744","3,265,068","3,279,648","3,294,007","3,298,010","4,451,910"
$,Thousand,Indent,Stock options,"1,988","2,090","2,504","2,869","4,243","5,050","5,408","5,884","10,255","21,348","22,374","23,573","29,708","33,986","36,995","41,052","53,375","58,409","60,385","65,771","84,155","89,955","93,298","78,554","95,115","103,139","110,127","117,694","129,962","137,879","144,130","148,032","158,437","163,835","169,720","174,470","183,178","185,922"
$,Thousand,Indent,Warrants,"15,732","15,732","15,732","15,732","15,732","15,732","15,727","15,723","15,717","15,715","14,653",,,,,"24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858","24,858",,,
$,Thousand,Indent,Contributed surplus,"7,181","7,181","7,181","7,181","7,181","7,181","7,181","7,181","15,128","15,128","15,128","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,166","15,164","15,166","15,665","15,665","15,665","15,665","15,665","15,665","15,665","37,254","37,254","37,254"
$,Thousand,Indent,Retained earnings (deficit),"-162,307","-149,513","-147,457","-138,697","-107,344","-70,252","-25,049","3,015","23,450","61,259","72,711","112,240","141,148","149,495","163,533","157,541","211,882","213,109","196,143","216,158","238,490","338,850","460,311","440,265","485,529","554,354","472,740","-129,021","-84,579","-75,505","-3,450","7,046","31,000","-31,468","-22,345","-513,441","-418,532","-394,821"
$,Thousand,Indent,Accumulated other comprehensive loss,"-1,876","-2,281","2,044","3,323","-7,190","-8,519","-8,392","-10,052","-12,456","-17,705","-22,719","-23,712","-32,812","-37,388","-34,554","-20,608","-15,612","6,628","19,166","51,049","60,296","83,604","17,461","28,390","30,593","27,326","-17,192","-7,106","-16,981","-23,667","-4,907","-27,311","-16,323","-21,132","-8,109","-15,141","5,695","9,846"
$,Thousand,Bold,Total Shareholders' equity,"482,885","496,296","511,071","655,067","885,738","1,165,117","1,220,806","1,252,405","1,287,516","1,820,241","1,893,924","2,058,934","2,125,609","2,137,334","2,163,567","2,517,756","2,618,759","2,667,045","2,686,688","2,751,761","2,805,133","2,949,539","3,614,630","3,665,450","3,741,463","3,826,984","3,722,764","3,202,972","3,251,848","3,273,811","3,390,052","3,410,212","3,463,381","3,416,826","3,459,437","2,977,149","3,105,605","4,290,111"
$,Thousand,Indent,Non-controlling interest, ,,,,,,,,,"10,195",,,,,,,,,,,,,,,,,,"12,191",,,,,,,,,,
$,Thousand,Bold,Total liabilities and shareholders' equity,"730,464","736,355","766,727","974,307","1,066,184","1,362,174","1,413,259","1,491,701","1,535,457","2,411,346","2,531,554","2,747,398","2,819,484","2,976,867","3,221,864","3,378,824","3,630,004","3,812,633","4,113,303","4,247,357","4,309,745","4,494,772","5,511,972","5,501,998","5,523,201","5,641,656","5,544,051","5,026,564","4,998,423","5,067,550","5,218,625","5,255,842","5,250,820","5,250,800","5,440,070","4,959,359","4,995,126","6,708,478"
